#,Part Name,Qty.
1,M5 x 0.8 x 8mm Hexagon Socket Head Cap Screws,4
2,M5 T-Nuts,4
3,M5 x 0.8 x 8mm Hexagon Socket Head Cap Screws,4
4,M5 T-Nuts,4
5,5mm OD Rods,2
6,3D Printed PCB Clamp Mounts,2
7,3D Printed T-Slot Handle,2
8,3D Printed T-Slot Handle Spacer,2
9,3D Printed T-Slot Shaft Collar,2
10,20mm long 5mm diameter Spring,2-4
11,3D Printed Board Clamp,1
